Supplementary Data 3. Final list of vulnerable species by system.,,,,
System,Common Name,Organismal Group,Threat,Reference 
CSM,California Softshell Clam,bivalve,Acidification,"(Byrne n.d.; Scavia et al. 2002; Dove & Sammut 2007; Gazeau et al. 2007, 2010, 2011; Amaral et al. 2012; Bressan et al. 2014; Gobler et al. 2014)"
CSM,Bent-nosed Clam,bivalve,Acidification,"(Byrne n.d.; Scavia et al. 2002; Dove & Sammut 2007; Gazeau et al. 2007, 2010, 2011; Amaral et al. 2012; Bressan et al. 2014; Gobler et al. 2014)"
CSM,White Sand Macoma,bivalve,Acidification,"(Byrne n.d.; Scavia et al. 2002; Dove & Sammut 2007; Gazeau et al. 2007, 2010, 2011; Amaral et al. 2012; Bressan et al. 2014; Gobler et al. 2014)"
CSM,Blue Mussel,bivalve,Acidification,"(Byrne n.d.; Scavia et al. 2002; Dove & Sammut 2007; Gazeau et al. 2007, 2010, 2011; Amaral et al. 2012; Bressan et al. 2014; Gobler et al. 2014)"
CSM,California Mahogany Clam,bivalve,Acidification,"(Byrne n.d.; Scavia et al. 2002; Dove & Sammut 2007; Gazeau et al. 2007, 2010, 2011; Amaral et al. 2012; Bressan et al. 2014; Gobler et al. 2014)"
CSM,Pacific Littleneck Clam,bivalve,Acidification,"(Byrne n.d.; Scavia et al. 2002; Dove & Sammut 2007; Gazeau et al. 2007, 2010, 2011; Amaral et al. 2012; Bressan et al. 2014; Gobler et al. 2014)"
CSM,Butter Clam,bivalve,Acidification,"(Byrne n.d.; Scavia et al. 2002; Dove & Sammut 2007; Gazeau et al. 2007, 2010, 2011; Amaral et al. 2012; Bressan et al. 2014; Gobler et al. 2014)"
CSM,Fat Jackknife Clam,bivalve,Acidification,"(Byrne n.d.; Scavia et al. 2002; Dove & Sammut 2007; Gazeau et al. 2007, 2010, 2011; Amaral et al. 2012; Bressan et al. 2014; Gobler et al. 2014)"
CSM,California Jackknife Clam,bivalve,Acidification,"(Byrne n.d.; Scavia et al. 2002; Dove & Sammut 2007; Gazeau et al. 2007, 2010, 2011; Amaral et al. 2012; Bressan et al. 2014; Gobler et al. 2014)"
CSM,Lesser Tagelus,bivalve,Acidification,"(Byrne n.d.; Scavia et al. 2002; Dove & Sammut 2007; Gazeau et al. 2007, 2010, 2011; Amaral et al. 2012; Bressan et al. 2014; Gobler et al. 2014)"
CSM,oniscidean,isopod,Acidification,(Alenius & Munguia 2012)
CSM,harpacticoid,copepod,Acidification,(Jayalakshmi et al. 2016)
CSM,oniscidean,isopod,Pollution,(Jones 1975; Concepts Controv. Tidal Marsh Ecol. 2000)
CSM,ostracod-planktonic,ostracod,Pollution,(Concepts Controv. Tidal Marsh Ecol. 2000; Ruiz et al. 2005)
CSM,Green Crab,crab,Pollution,(Elumalai et al. 2002)
CSM,Blue Mussel,bivalve,Pollution,(Hvilsom 1983)
CSM,Staghorn Sculpin,fish,"Eutrophication, hypoxia",(Concepts Controv. Tidal Marsh Ecol. 2000; Kennish 2002; Jeppesen et al. 2018)
CSM,ostracod-planktonic,ostracod,Hypoxia,(Ruiz et al. 2005)
EPB,Chione californiensis,bivalve,Acidification,"(Byrne n.d.; Scavia et al. 2002; Dove & Sammut 2007; Gazeau et al. 2007, 2010, 2011; Amaral et al. 2012; Bressan et al. 2014; Gobler et al. 2014)"
EPB,Chione fluctifraga,bivalve,Acidification,"(Byrne n.d.; Scavia et al. 2002; Dove & Sammut 2007; Gazeau et al. 2007, 2010, 2011; Amaral et al. 2012; Bressan et al. 2014; Gobler et al. 2014)"
EPB,California Softshell Clam,bivalve,Acidification,"(Byrne n.d.; Scavia et al. 2002; Dove & Sammut 2007; Gazeau et al. 2007, 2010, 2011; Amaral et al. 2012; Bressan et al. 2014; Gobler et al. 2014)"
EPB,Ribbed Mussel,bivalve,Acidification,"(Byrne n.d.; Scavia et al. 2002; Dove & Sammut 2007; Gazeau et al. 2007, 2010, 2011; Amaral et al. 2012; Bressan et al. 2014; Gobler et al. 2014)"
